image_id,dx,confidence,entropy,escalated
ISIC_0026769,bkl,0.93094337,0.1865446875834165,False
ISIC_0025661,bkl,0.9101901,0.17704424562578938,False
ISIC_0031633,bkl,0.9837483,0.05667496038719857,False
ISIC_0027850,bkl,0.98372066,0.05490700836229272,False
ISIC_0025837,bkl,0.9769956,0.07460391048440411,False
ISIC_0025209,bkl,0.85496414,0.30893408082986534,False
ISIC_0031326,bkl,0.9968286,0.01359744064285702,False
ISIC_0025915,bkl,0.9955065,0.01828925360914436,False
ISIC_0031029,bkl,0.9461795,0.15156578973697538,False
ISIC_0032343,bkl,0.988886,0.03960161841934025,False
ISIC_0025033,bkl,0.966965,0.1002063136146674,False
ISIC_0027310,bkl,0.95675063,0.12357297989743658,False
ISIC_0032128,bkl,0.9683744,0.09563345220951056,False
ISIC_0025937,bkl,0.99645114,0.014502001461835395,False
ISIC_0027828,bkl,0.977452,0.07549895567624137,False
ISIC_0029291,bkl,0.98737,0.04547335287855044,False
ISIC_0030698,bkl,0.8258694,0.3345037550271029,True
ISIC_0025567,bkl,0.9934948,0.025488225176672576,False
ISIC_0031159,bkl,0.9806323,0.06496387664092629,False
ISIC_0031017,bkl,0.97982717,0.06482637530227166,False
ISIC_0024981,bkl,0.9687384,0.09575007104925055,False
ISIC_0027815,bkl,0.9105113,0.2067909709590604,False
ISIC_0024324,bkl,0.98328835,0.05640490074364413,False
ISIC_0029559,bkl,0.92110384,0.20345925134308065,False
ISIC_0025819,bkl,0.972694,0.08833860646288032,False
ISIC_0032013,bkl,0.9173532,0.21525581862874493,False
ISIC_0031691,bkl,0.9921069,0.029709202691290185,False
ISIC_0025419,bkl,0.93404317,0.1684979202192322,False
ISIC_0025016,bkl,0.9510239,0.12851586049861657,False
ISIC_0029147,bkl,0.9748239,0.07358867797299765,False
ISIC_0027960,bkl,0.99768054,0.009943296239134009,False
ISIC_0026955,bkl,0.8673673,0.2801695604253756,False
ISIC_0028052,bkl,0.8376151,0.3651386795844702,True
ISIC_0025286,bkl,0.9731573,0.0864421508757132,False
ISIC_0031468,bkl,0.9853962,0.051216001791664564,False
ISIC_0030926,bkl,0.9359079,0.17127764348326383,False
ISIC_0029288,bkl,0.98872465,0.041451254938533744,False
ISIC_0031008,bkl,0.97282535,0.0866100685274184,False
ISIC_0024698,nv,0.9333772,0.18202648671263907,False
ISIC_0031495,bkl,0.97127366,0.08910225348864637,False
ISIC_0026104,bkl,0.9226728,0.19585691903194064,False
ISIC_0029413,bkl,0.99654764,0.014215441427911948,False
ISIC_0029576,bkl,0.9765182,0.07517300644034061,False
ISIC_0025140,bkl,0.9663998,0.1041184931867264,False
ISIC_0025554,bkl,0.99547476,0.018061037454660075,False
ISIC_0033539,bkl,0.96863204,0.09900457825725219,False
ISIC_0032283,bkl,0.98677516,0.04715681003986111,False
ISIC_0030005,bkl,0.7182225,0.5032660796917053,True
ISIC_0030189,bkl,0.99046713,0.034189498035984964,False
ISIC_0026532,bkl,0.9940194,0.023061327698070733,False
ISIC_0030768,bkl,0.98695254,0.04600642709818535,False
ISIC_0029837,bkl,0.9881639,0.04236453307130088,False
ISIC_0031624,bkl,0.9935994,0.025306215475598963,False
ISIC_0025510,bkl,0.88958406,0.2662354890373866,False
ISIC_0030607,bkl,0.91023064,0.22476835972399037,False
ISIC_0029060,bkl,0.97162503,0.08459190174195676,False
ISIC_0029308,bkl,0.9942603,0.02261266027868758,False
ISIC_0024635,bkl,0.98857635,0.04102174703960692,False
ISIC_0029425,bkl,0.8827076,0.26133785002168064,False
ISIC_0027023,bkl,0.9871674,0.04598160089302172,False
ISIC_0025388,bkl,0.9892855,0.03724258140452893,False
ISIC_0028080,bkl,0.99045724,0.035316716489499085,False
ISIC_0032463,bkl,0.9893155,0.03900465232963044,False
